site,page_content,device,run,tested_url,fetch_time_utc,lighthouse_version,score,fcp_ms,lcp_ms,tbt_ms,cls,speed_index_ms
Docs7,Collapsible content,mobile,6,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T10:55:57.709Z,13.4.1,89,1201.012050144448,3001.0361504333446,232.99999999999955,0,3285.1157884913428
Docs7,Collapsible content,mobile,7,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T11:01:02.762Z,13.4.1,92,1201.0154213174478,3151.0488341719174,125.9987148902128,0,1796.8839169768721
Docs7,Collapsible content,mobile,8,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T11:04:22.812Z,13.4.1,71,1201.0075187816296,7355.98147779619,252.5,0,3037.604495928561
Docs7,Collapsible content,mobile,9,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T11:09:36.991Z,13.4.1,93,1201.010989527765,3151.0348001712573,44.5,0,2086.144513445863
Docs7,Collapsible content,mobile,10,https://upstash-context7.docs7.io/docs/docs7/components/accordions,2026-09-17T11:13:03.308Z,13.4.1,88,1201.049120724198,3301.1637357473273,227.99590660631657,0,1759.2135589446407
Mintlify,Collapsible content,mobile,1,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T09:06:27.606Z,13.4.1,62,1711.9288529521211,7577.041192122074,421,0,4524.742497217076
Mintlify,Collapsible content,mobile,2,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T09:09:33.451Z,13.4.1,93,1701.326299823952,2927.018749809999,112,0,2805.905366798832
Mintlify,Collapsible content,mobile,3,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T09:10:37.214Z,13.4.1,73,1680.7838530580332,4726.029276792913,369,0,2242.1439534948368
Mintlify,Collapsible content,mobile,4,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T10:45:44.161Z,13.4.1,82,1670.9837400132462,4577.0280189421155,105.5,0,2606.2470641498694
Mintlify,Collapsible content,mobile,5,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T10:52:32.125Z,13.4.1,77,1683.6290150735367,4727.0303792094965,256.5,0,2709.3960876923784
Mintlify,Collapsible content,mobile,6,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T10:55:53.810Z,13.4.1,57,3008.015636131431,11815.9261597069,327,0,6124.723257210335
Mintlify,Collapsible content,mobile,7,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T11:00:58.216Z,13.4.1,77,1674.7436502837656,4877.028862168558,221,0,2637.501630875936
Mintlify,Collapsible content,mobile,8,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T11:04:21.259Z,13.4.1,63,3006.0199440572387,11607.913077848007,149,0,6010.229053334469
Mintlify,Collapsible content,mobile,9,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T11:09:32.595Z,13.4.1,76,1680.7149299013893,4727.036350942119,282.5,0,2343.6375230544636
Mintlify,Collapsible content,mobile,10,https://context7.mintlify.dev/docs/docs7/components/accordions,2026-09-17T11:13:02.624Z,13.4.1,62,3006.0221804501243,11703.021011885638,169,0,6474.229750783012
Docs7,Tabbed setup guide,desktop,1,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T08:59:43.871Z,13.4.1,99,321.0021522439166,521.0039457805137,88.99982064634025,0.016674733919440292,421.12995776102605
Docs7,Tabbed setup guide,desktop,2,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T09:01:05.877Z,13.4.1,93,321.0027092885068,561.0054185770136,222.99909690383112,0.0003802657627045801,542.3927557558259
Docs7,Tabbed setup guide,desktop,3,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T09:03:45.256Z,13.4.1,94,321.0027076491674,581.0056409357654,192.9993230877081,0.0003802657627045801,500.09486689921073
Docs7,Tabbed setup guide,desktop,4,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T10:46:49.995Z,13.4.1,100,321.0021512893667,641.005019675189,57,0.0003802657627045801,448.3739398531626
Docs7,Tabbed setup guide,desktop,5,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T10:51:35.403Z,13.4.1,86,321.0037461888731,561.0074923777463,333.9993756351878,0.0003802657627045801,656.6055949454467
Docs7,Tabbed setup guide,desktop,6,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T10:57:06.474Z,13.4.1,99,321.002632769158,641.0061431280352,88.9993418077106,0.0003802657627045801,432.5785111584566
Docs7,Tabbed setup guide,desktop,7,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T11:00:05.400Z,13.4.1,98,321.00167792406864,521.0030761941259,125.9998601729942,0.0003802657627045801,490.56375585162357
Docs7,Tabbed setup guide,desktop,8,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T11:05:26.723Z,13.4.1,97,321.0007067158143,701.0018256825203,145.5,0.0003802657627045801,644.5147604232782
Docs7,Tabbed setup guide,desktop,9,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T11:08:35.702Z,13.4.1,100,321.00318944620494,561.0063788924101,65.99973421281629,0.0003802657627045801,524.7966616058758
Docs7,Tabbed setup guide,desktop,10,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T11:14:14.041Z,13.4.1,96,321.0042278797948,661.0102173761709,161.99859070673506,0.0003802657627045801,498.46120628169825
Mintlify,Tabbed setup guide,desktop,1,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T08:59:38.442Z,13.4.1,87,510.930833418013,1142.0152821181482,275.50000000000136,0.03881156921049263,1029.3191627069016
Mintlify,Tabbed setup guide,desktop,2,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T09:01:06.369Z,13.4.1,84,510.9919939268512,1162.0155995229145,307.5000000000018,0.03881156921049263,1072.0226958571152
Mintlify,Tabbed setup guide,desktop,3,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T09:03:43.896Z,13.4.1,94,502.06580221636517,1222.025059330086,133.49296580208124,0.03881156921049263,1091.977980156279
Mintlify,Tabbed setup guide,desktop,4,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T10:46:48.997Z,13.4.1,98,529.708858691704,1161,0,0,529.708858691704
Mintlify,Tabbed setup guide,desktop,5,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T10:51:28.907Z,13.4.1,84,508.700623090069,1222.015906471845,306.5000000000009,0.03881156921049263,998.5456757136049
Mintlify,Tabbed setup guide,desktop,6,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T10:57:05.866Z,13.4.1,95,501.5738755957566,1242.0172826961234,123.49493438217064,0.03881156921049263,1031.649965076672
Mintlify,Tabbed setup guide,desktop,7,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T11:00:04.281Z,13.4.1,94,507.88191352479134,1422.0199505540281,111.99999999999932,0.03908718094731574,999.1891455131706
Mintlify,Tabbed setup guide,desktop,8,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T11:05:24.658Z,13.4.1,92,507.6603093770342,1202.0268669231514,184.00000000000045,0.03881156921049263,1037.6818119803806
Mintlify,Tabbed setup guide,desktop,9,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T11:08:35.890Z,13.4.1,85,506.45483965558554,1222.0182185690535,293.4999999999991,0.03881156921049263,1085.563288076759
Mintlify,Tabbed setup guide,desktop,10,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T11:14:13.135Z,13.4.1,95,506.8926265852162,1382.0378994606658,90.49125397061653,0.03881156921049263,1022.9948234571641
Docs7,Tabbed setup guide,mobile,1,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T08:59:32.257Z,13.4.1,92,1201.0021523850573,2701.0057396934862,224.5,0,1809.8059253628219
Docs7,Tabbed setup guide,mobile,2,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T09:00:51.437Z,13.4.1,95,1201.0021522207753,2851.0060979588634,74,0,1509.2027772592917
Docs7,Tabbed setup guide,mobile,3,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T09:03:40.934Z,13.4.1,90,1201.0037460440108,2401.0087407693577,336.5,0,1692.8279968305073
Docs7,Tabbed setup guide,mobile,4,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T10:46:47.669Z,13.4.1,97,1201.0027076128918,2551.0067690322294,90,0,1854.989391021739
Docs7,Tabbed setup guide,mobile,5,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T10:51:26.059Z,13.4.1,96,1201.0027083196192,2551.0067707990484,131,0,1620.1276508523572
Docs7,Tabbed setup guide,mobile,6,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T10:56:59.380Z,13.4.1,62,1964.5058736201827,7565.154260199053,388.5,0,4796.294485656901
Docs7,Tabbed setup guide,mobile,7,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T10:59:57.654Z,13.4.1,67,1201.0022258646868,6691.205492895082,375,0,3136.630001214493
Docs7,Tabbed setup guide,mobile,8,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T11:05:22.902Z,13.4.1,69,1959.0030610110366,7194.914010692013,174,0,4551.731121953857
Docs7,Tabbed setup guide,mobile,9,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T11:08:36.092Z,13.4.1,93,1201.5016818142922,2851.5047651404957,167.5,0,1712.494998676531
Docs7,Tabbed setup guide,mobile,10,https://upstash-context7.docs7.io/docs/howto/claiming-libraries,2026-09-17T11:14:11.480Z,13.4.1,50,1965.075506440628,7353.0242071530365,937.5,0,4807.336270943667
Mintlify,Tabbed setup guide,mobile,1,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T08:59:31.657Z,13.4.1,68,1829.258466202548,8762.02388317803,156,0,5240.900125996293
Mintlify,Tabbed setup guide,mobile,2,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T09:00:52.655Z,13.4.1,61,3161.0290477550834,14477.144474360808,162,0,6345.201716177973
Mintlify,Tabbed setup guide,mobile,3,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T09:03:36.043Z,13.4.1,53,1839.112514255532,9263.5445262525,627.5000000000027,0,6083.732953033619
Mintlify,Tabbed setup guide,mobile,4,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T10:46:45.333Z,13.4.1,74,1822.3705229545553,6901,0,0,4003.2430091787346
Mintlify,Tabbed setup guide,mobile,5,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T10:51:24.743Z,13.4.1,53,1847.1648043558291,8665.040412503882,660.4999999999973,0,5786.425791409989
Mintlify,Tabbed setup guide,mobile,6,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T10:56:56.051Z,13.4.1,55,1837.8036244870875,11742.524742116933,578.4999999999982,0,5566.785008378171
Mintlify,Tabbed setup guide,mobile,7,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T10:59:56.103Z,13.4.1,68,1834.5324633576874,6002.019595262747,357.5,0,3427.2770414784304
Mintlify,Tabbed setup guide,mobile,8,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T11:05:22.489Z,13.4.1,68,1831.7018456412268,5702.023691510045,386.5,0,3430.6811675014696
Mintlify,Tabbed setup guide,mobile,9,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T11:08:34.553Z,13.4.1,60,3160.0098034480357,14402.048501269215,216,0,6335.706732635374
Mintlify,Tabbed setup guide,mobile,10,https://context7.mintlify.dev/docs/howto/claiming-libraries,2026-09-17T11:14:09.043Z,13.4.1,69,1833.2432064292084,5852.034827134694,339,0,2743.0851791342066
Docs7,Long CLI guide,desktop,1,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T09:07:12.163Z,13.4.1,91,304.00201030006747,521.0055283251855,244.99974871249162,0.0003802657627045801,683.8585952474394
Docs7,Long CLI guide,desktop,2,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T09:09:01.745Z,13.4.1,97,281.0017099893544,481.00341997870885,144.49982900106465,0.001589500170567331,609.6142230770472
Docs7,Long CLI guide,desktop,3,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T09:11:41.739Z,13.4.1,85,281.001710296158,601.0044467700108,340.9999999999999,0.0003802657627045801,580.3514148997972
Docs7,Long CLI guide,desktop,4,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T10:45:10.945Z,13.4.1,99,281.0029144633535,601.0075776047189,80.50000000000011,0.0003802657627045801,689.5587802921816
Docs7,Long CLI guide,desktop,5,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T10:53:12.281Z,13.4.1,96,281.00663134814795,641.0185677748142,150.9986737303705,0.0003802657627045801,696.80269525813
Docs7,Long CLI guide,desktop,6,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T10:55:30.774Z,13.4.1,98,281.0021117896179,601.0054906530067,122.99957764207636,0.0003802657627045801,495.5876036022968
Docs7,Long CLI guide,desktop,7,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T11:01:34.419Z,13.4.1,96,304.00169213190236,482.00423032975596,156.99957696702438,0.0003802657627045801,516.0308078948482
Docs7,Long CLI guide,desktop,8,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T11:03:51.845Z,13.4.1,86,281.00253963778255,541.0058411668999,336.00000000000006,0.0003802657627045801,485.35143957926823
Docs7,Long CLI guide,desktop,9,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T11:10:10.468Z,13.4.1,92,282.0029405137783,642.0082334385792,223.9997059486222,0.0003802657627045801,544.3917303315543
Docs7,Long CLI guide,desktop,10,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T11:12:36.630Z,13.4.1,96,281.0029229185362,561.0070150044869,174.49912312443917,0.0003802657627045801,484.2525790537136
Mintlify,Long CLI guide,desktop,1,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T09:07:15.936Z,13.4.1,89,507.0320758409521,961,0,0.002719959033994979,6178.676625622053
Mintlify,Long CLI guide,desktop,2,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T09:09:03.926Z,13.4.1,82,518.0523730580339,942.0140632379723,377.5,0.0002756117368231141,1004.150589141907
Mintlify,Long CLI guide,desktop,3,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T09:11:44.277Z,13.4.1,75,516.0856487560357,882.0053479451063,573.0000000000006,0.0001466717881634331,1087.0099802439133
Mintlify,Long CLI guide,desktop,4,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T10:45:14.070Z,13.4.1,87,513.2367398212846,962.0078128452162,288.5,0.0001466717881634331,1027.18347178582
Mintlify,Long CLI guide,desktop,5,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T10:53:13.054Z,13.4.1,94,504.37678793589464,1022.0121594038324,164.50000000000045,0.0001466717881634331,1031.2200346242614
Mintlify,Long CLI guide,desktop,6,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T10:55:30.736Z,13.4.1,88,508.63694755752715,942.5174942490298,260.00000000000045,0.0001466717881634331,1260.187750739763
Mintlify,Long CLI guide,desktop,7,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T11:01:38.499Z,13.4.1,96,531.303000799636,1142.0419228732608,102.23813503586962,0.0001466717881634331,1072.7771216072344
Mintlify,Long CLI guide,desktop,8,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T11:03:51.465Z,13.4.1,90,509.34293637126683,1022.0173962136364,236.49999999999966,0.0002756117368231141,1010.3343387107043
Mintlify,Long CLI guide,desktop,9,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T11:10:16.855Z,13.4.1,79,514.4052348740213,902.0150728041713,441.49999999999955,0.0001466717881634331,1048.4338924888434
Mintlify,Long CLI guide,desktop,10,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T11:12:38.149Z,13.4.1,89,506.9533884373274,1022.0101917706207,251.50000000000045,0.0001466717881634331,1164.5215295204207
Docs7,Long CLI guide,mobile,1,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T09:07:06.763Z,13.4.1,94,1201.0497460984634,2926.1450927871856,124.5,0,1647.4651934955368
Docs7,Long CLI guide,mobile,2,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T09:08:51.075Z,13.4.1,93,1201.002502662689,3151.0079250985154,33,0,1927.1269422570522
Docs7,Long CLI guide,mobile,3,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T09:11:25.032Z,13.4.1,88,1201.0035284661008,3151.0111734759857,280,0,1700.60559131122
Docs7,Long CLI guide,mobile,4,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T10:45:07.197Z,13.4.1,69,1959.0037049861653,7174.904328142502,173,0,4555.499584029556
Docs7,Long CLI guide,mobile,5,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T10:53:00.491Z,13.4.1,91,1201.0025024849242,3151.007924535593,175,0,1696.5509921958246
Docs7,Long CLI guide,mobile,6,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T10:55:23.347Z,13.4.1,63,1969.0082580751268,7376.042820040067,371,0,4482.70910475102
Docs7,Long CLI guide,mobile,7,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T11:01:31.570Z,13.4.1,86,1201.0010670749298,2863.0030233789685,365,0,1878.5115000660003
Docs7,Long CLI guide,mobile,8,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T11:03:38.918Z,13.4.1,95,1201.0034972717722,2701.00932605806,126,0,1725.815574941898
Docs7,Long CLI guide,mobile,9,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T11:10:08.606Z,13.4.1,94,1201.003507554266,3001.0105226627984,21.00000000000091,0,1838.4782772730996
Docs7,Long CLI guide,mobile,10,https://upstash-context7.docs7.io/docs/clients/cli,2026-09-17T11:12:30.673Z,13.4.1,65,1964.0091761588835,7519.53926477326,314.5,0,4607.898471596747
Mintlify,Long CLI guide,mobile,1,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T09:08:08.569Z,13.4.1,59,1864.7015028102537,11511.530361393108,421.5000000000018,0,5532.9578697908855
Mintlify,Long CLI guide,mobile,2,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T09:09:00.224Z,13.4.1,54,1841.2026435582961,10407.026611112331,607.5000000000009,0,5277.647527474674
Mintlify,Long CLI guide,mobile,3,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T09:11:36.411Z,13.4.1,58,1845.7036738159704,7603.047316301385,552.5,0,4316.7016529893735
Mintlify,Long CLI guide,mobile,4,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T10:45:11.736Z,13.4.1,50,1858.704671206884,7867.640609312286,840,0,5561.278598314403
Mintlify,Long CLI guide,mobile,5,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T10:53:10.573Z,13.4.1,54,3020.0078338729286,13863.750762338603,424,0,6244.74757591609
Mintlify,Long CLI guide,mobile,6,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T10:55:25.045Z,13.4.1,50,1846.3330014834082,8052.038659329494,805.5000000000018,0,5738.188580670496
Mintlify,Long CLI guide,mobile,7,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T11:01:32.621Z,13.4.1,54,1842.7527215139107,10910.045609965096,569,0,6035.676460682716
Mintlify,Long CLI guide,mobile,8,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T11:03:44.179Z,13.4.1,55,3026.0105686440693,11481.529944491536,387.5,0,6368.698753671574
Mintlify,Long CLI guide,mobile,9,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T11:10:09.941Z,13.4.1,53,1846.6759224640182,7979.035216192908,701.9999999999982,0,5371.368229453816
Mintlify,Long CLI guide,mobile,10,https://context7.mintlify.dev/docs/clients/cli,2026-09-17T11:12:32.732Z,13.4.1,58,1838.1642302287312,10668.529206897105,472,0,5471.405650767737
Docs7,Generated diagrams,desktop,1,https://upstash-context7.docs7.io/docs/docs7/components/mermaid,2026-09-17T08:59:55.326Z,13.4.1,99,321.0098693572902,661.0238509467847,84.9991775535592,0.004190769188526295,640.0998206705104
Docs7,Generated diagrams,desktop,2,https://upstash-context7.docs7.io/docs/docs7/components/mermaid,2026-09-17T09:15:41.002Z,13.4.1,98,321.0079416876804,661.0191924118942,112.99801457808013,0.003810503425821715,930.962322362577
Docs7,Generated diagrams,desktop,3,https://upstash-context7.docs7.io/docs/docs7/components/mermaid,2026-09-17T09:04:01.679Z,13.4.1,93,321.01283859712635,661.031026609722,201.49893011690608,0.004190769188526295,595.4438471881698
Docs7,Generated diagrams,desktop,4,https://upstash-context7.docs7.io/docs/docs7/components/mermaid,2026-09-17T10:46:40.074Z,13.4.1,86,321.01139158882313,681.0284789720577,324.49810140186304,0.003810503425821715,634.0194504593001
Docs7,Generated diagrams,desktop,5,https://upstash-context7.docs7.io/docs/docs7/components/mermaid,2026-09-17T10:51:44.213Z,13.4.1,84,321.01532348592787,653.033200886177,356.9974460856788,0.003810503425821715,635.0237870121946
Docs7,Generated diagrams,desktop,6,https://upstash-context7.docs7.io/docs/docs7/components/mermaid,2026-09-17T10:56:49.295Z,13.4.1,93,321.00842348666197,661.0203567594332,213.84424343098,0.004190769188526295,565.9287872215892
Docs7,Generated diagrams,desktop,7,https://upstash-context7.docs7.io/docs/docs7/components/mermaid,2026-09-17T11:00:12.638Z,13.4.1,90,321.01589060649746,561.031781212995,258.9973515655838,0.004190769188526295,621.1485393012953
Docs7,Generated diagrams,desktop,8,https://upstash-context7.docs7.io/docs/docs7/components/mermaid,2026-09-17T11:05:17.707Z,13.4.1,97,321.01331837017597,641.0310761970773,149.99778027163734,0.004190769188526295,557.3887350812395
Docs7,Generated diagrams,desktop,9,https://upstash-context7.docs7.io/docs/docs7/components/mermaid,2026-09-17T11:08:45.209Z,13.4.1,74,321.01484190946303,521.0272101673487,718.5000000000001,0.003810503425821715,876.9927000219812
